CREST;COLGATE;CRESTPR;COLGATPR;WEEK_;DATE_
0.107;0.381;2.1;2;63;  63
0.097;0.339;2.14;2.05;64;  64
0.134;0.405;2.1;2.04;65;  65
0.16;0.304;2.06;2.03;66;  66
0.147;0.439;2.13;1.99;67;  67
0.104;0.336;1.99;2.08;68;  68
0.128;0.405;2.07;2;69;  69
0.128;0.359;1.96;2.02;70;  70
0.165;0.379;2.02;1.98;71;  71
0.184;0.303;1.92;2.03;72;  72
0.172;0.34;1.86;1.93;73;  73
0.207;0.312;1.9;2.02;74;  74
0.221;0.291;1.89;1.96;75;  75
0.159;0.259;2.01;2.01;76;  76
0.198;0.342;1.93;2.03;77;  77
0.197;0.458;1.88;1.99;78;  78
0.251;0.275;1.92;2.07;79;  79
0.146;0.34;1.94;2.03;80;  80
0.133;0.385;2.01;1.98;81;  81
0.243;0.338;1.94;1.99;82;  82
0.192;0.37;1.94;1.99;83;  83
0.15;0.29;1.92;2.02;84;  84
0.221;0.325;1.89;2.1;85;  85
0.183;0.337;2.02;2.04;86;  86
0.136;0.338;2.01;1.94;87;  87
0.206;0.323;1.97;2.06;88;  88
0.127;0.357;1.97;1.95;89;  89
0.139;0.381;1.89;2.06;90;  90
0.189;0.371;2.03;1.97;91;  91
0.194;0.294;2.03;2.06;92;  92
0.114;0.384;1.98;2.02;93;  93
0.229;0.286;1.97;2.03;94;  94
0.148;0.335;2.02;2.05;95;  95
0.155;0.31;2.03;2;96;  96
0.106;0.304;2.06;2;97;  97
0.156;0.305;2.1;1.99;98;  98
0.053;0.403;2.07;1.98;99;  99
0.112;0.365;1.86;1.99;100; 100
0.084;0.305;1.99;1.93;101; 101
0.191;0.172;2.01;1.99;102; 102
0.149;0.321;2.07;1.97;103; 103
0.143;0.343;2.11;2.07;104; 104
0.094;0.354;2.08;1.97;105; 105
0.184;0.316;2.08;1.99;106; 106
0.205;0.292;2.08;1.86;107; 107
0.206;0.305;2.07;2.03;108; 108
0.191;0.294;2.13;2;109; 109
0.195;0.289;2.1;1.95;110; 110
0.179;0.301;2.08;1.94;111; 111
0.272;0.304;2.09;2.02;112; 112
0.203;0.306;2.09;1.94;113; 113
0.165;0.405;2.05;2.01;114; 114
0.138;0.344;2.02;1.87;115; 115
0.216;0.353;2.1;1.97;116; 116
0.132;0.383;1.99;1.9;117; 117
0.12;0.349;2.11;2.03;118; 118
0.083;0.374;2.18;2;119; 119
0.118;0.411;2.07;1.94;120; 120
0.125;0.287;2.09;2.05;121; 121
0.109;0.42;2.03;1.97;122; 122
0.119;0.47;2.01;2.02;123; 123
0.154;0.354;2.08;1.98;124; 124
0.122;0.392;2.09;2.09;125; 125
0.126;0.421;1.98;1.98;126; 126
0.126;0.435;2.02;2.05;127; 127
0.13;0.424;2.08;2.03;128; 128
0.158;0.344;2.08;1.97;129; 129
0.141;0.369;2.03;1.99;130; 130
0.145;0.364;2.02;1.95;131; 131
0.127;0.386;2.09;2.06;132; 132
0.171;0.406;2.04;1.98;133; 133
0.152;0.439;1.96;2.03;134; 134
0.211;0.345;1.96;2.06;135; 135
0.309;0.291;2.05;2.05;136; 136
0.242;0.292;1.98;1.96;137; 137
0.38;0.249;1.94;2.06;138; 138
0.362;0.283;1.97;1.94;139; 139
0.328;0.301;2;2.03;140; 140
0.359;0.28;2.02;1.96;141; 141
0.352;0.251;1.96;2.09;142; 142
0.322;0.303;2.03;1.98;143; 143
0.333;0.274;2;1.99;144; 144
0.365;0.328;1.98;1.96;145; 145
0.367;0.244;1.96;2.05;146; 146
0.305;0.323;1.9;1.95;147; 147
0.298;0.288;1.98;2.03;148; 148
0.307;0.293;1.99;1.99;149; 149
0.318;0.321;1.98;2;150; 150
0.28;0.33;1.97;1.94;151; 151
0.298;0.273;1.98;2.03;152; 152
0.336;0.304;1.94;1.97;153; 153
0.339;0.292;1.93;2.02;154; 154
0.344;0.251;2;2.05;155; 155
0.31;0.35;2.03;1.97;156; 156
0.317;0.302;1.95;2.03;157; 157
0.369;0.306;1.96;1.93;158; 158
0.32;0.272;1.98;1.98;159; 159
0.29;0.296;2.05;2.06;160; 160
0.361;0.265;1.97;1.95;161; 161
0.235;0.364;2.01;2.05;162; 162
0.32;0.284;1.95;2;163; 163
0.337;0.33;1.89;2.06;164; 164
0.289;0.351;1.94;2.05;165; 165
0.339;0.336;2;1.97;166; 166
0.187;0.383;2.01;2.04;167; 167
0.414;0.214;1.93;2;168; 168
0.373;0.26;2;1.98;169; 169
0.265;0.298;2.01;1.95;170; 170
0.316;0.248;1.89;1.95;171; 171
0.245;0.308;1.93;1.91;172; 172
0.328;0.356;1.83;2;173; 173
0.368;0.278;1.9;1.94;174; 174
0.287;0.314;1.85;2.01;175; 175
0.369;0.214;1.93;1.98;176; 176
0.406;0.253;1.95;1.86;177; 177
0.316;0.287;1.93;1.99;178; 178
0.362;0.238;1.95;1.95;179; 179
0.308;0.253;1.92;2;180; 180
0.286;0.336;1.9;1.95;181; 181
0.42;0.255;1.88;1.89;182; 182
0.299;0.249;1.88;1.99;183; 183
0.383;0.195;1.84;2.04;184; 184
0.354;0.269;2.03;1.96;185; 185
0.418;0.201;1.97;1.93;186; 186
0.425;0.184;1.94;1.92;187; 187
0.445;0.203;1.87;1.97;188; 188
0.408;0.193;1.91;2.01;189; 189
0.282;0.322;1.85;1.92;190; 190
0.41;0.261;1.78;1.96;191; 191
0.425;0.183;1.83;1.95;192; 192
0.358;0.289;1.84;1.86;193; 193
0.393;0.243;1.81;1.92;194; 194
0.375;0.302;1.89;1.92;195; 195
0.273;0.35;1.88;1.89;196; 196
0.237;0.401;1.81;2;197; 197
0.331;0.332;1.83;1.96;198; 198
0.335;0.351;1.9;1.93;199; 199
0.395;0.28;1.87;1.99;200; 200
0.357;0.308;1.9;1.97;201; 201
0.296;0.299;1.93;2;202; 202
0.307;0.199;1.9;1.99;203; 203
0.39;0.283;1.72;1.96;204; 204
0.298;0.333;1.89;1.87;205; 205
0.381;0.233;1.85;1.93;206; 206
0.354;0.296;1.85;1.97;207; 207
0.436;0.267;1.96;2;208; 208
0.357;0.253;1.88;1.95;209; 209
0.427;0.239;1.76;2;210; 210
0.432;0.155;1.8;2;211; 211
0.45;0.247;1.73;1.99;212; 212
0.53;0.201;1.67;1.84;213; 213
0.431;0.266;1.72;1.93;214; 214
0.42;0.29;1.76;1.91;215; 215
0.411;0.231;1.76;1.94;216; 216
0.423;0.255;1.8;1.98;217; 217
0.433;0.242;1.72;1.94;218; 218
0.393;0.271;1.87;1.95;219; 219
0.389;0.266;1.8;1.86;220; 220
0.387;0.244;1.85;1.91;221; 221
0.439;0.204;1.71;1.9;222; 222
0.421;0.213;1.74;1.87;223; 223
0.363;0.295;1.86;1.88;224; 224
0.401;0.254;1.88;1.86;225; 225
0.394;0.242;1.78;1.95;226; 226
0.459;0.228;1.74;1.93;227; 227
0.441;0.181;1.83;1.88;228; 228
0.388;0.264;1.82;1.84;229; 229
0.373;0.277;1.82;1.85;230; 230
0.385;0.284;1.8;1.8;231; 231
0.314;0.248;1.87;1.88;232; 232
0.347;0.28;1.92;1.86;233; 233
0.408;0.249;1.91;1.82;234; 234
0.341;0.279;1.75;1.85;235; 235
0.361;0.282;1.9;1.82;236; 236
0.414;0.267;1.82;1.86;237; 237
0.38;0.252;1.77;1.81;238; 238
0.274;0.19;1.85;1.79;239; 239
0.352;0.284;1.83;1.77;240; 240
0.439;0.207;1.83;1.76;241; 241
0.355;0.327;1.89;1.78;242; 242
0.435;0.259;1.87;1.73;243; 243
0.408;0.286;1.9;1.68;244; 244
0.383;0.275;1.81;1.69;245; 245
0.357;0.244;1.83;1.79;246; 246
0.374;0.341;1.85;1.68;247; 247
0.366;0.331;1.78;1.76;248; 248
0.346;0.25;1.79;1.73;249; 249
0.381;0.22;1.75;1.74;250; 250
0.329;0.293;1.88;1.74;251; 251
0.474;0.205;1.71;1.74;252; 252
0.397;0.254;1.8;1.78;253; 253
0.436;0.268;1.79;1.76;254; 254
0.417;0.211;1.66;1.82;255; 255
0.43;0.203;1.74;1.66;256; 256
0.388;0.271;1.63;1.81;257; 257
0.453;0.29;1.73;1.76;258; 258
0.316;0.323;1.75;1.82;259; 259
0.414;0.253;1.79;1.68;260; 260
0.396;0.23;1.72;1.83;261; 261
0.42;0.22;1.84;1.74;262; 262
0.432;0.235;1.84;1.71;263; 263
0.453;0.228;1.82;1.7;264; 264
0.43;0.216;1.82;1.68;265; 265
0.327;0.324;1.73;1.7;266; 266
0.388;0.268;1.75;1.67;267; 267
0.377;0.257;1.85;1.77;268; 268
0.466;0.194;1.65;1.75;269; 269
0.478;0.212;1.79;1.59;270; 270
0.365;0.218;1.81;1.72;271; 271
0.472;0.216;1.66;1.64;272; 272
0.399;0.276;1.76;1.74;273; 273
0.391;0.19;1.71;1.8;274; 274
0.473;0.249;1.76;1.81;275; 275
0.384;0.172;1.81;1.67;276; 276
