crest;colgate;crestpr;colgatpr;week_;date_;step135;step136
0.132;0.383;1.99;1.9;117; 117;0;0
0.12;0.349;2.11;2.03;118; 118;0;0
0.083;0.374;2.18;2;119; 119;0;0
0.118;0.411;2.07;1.94;120; 120;0;0
0.125;0.287;2.09;2.05;121; 121;0;0
0.109;0.42;2.03;1.97;122; 122;0;0
0.119;0.47;2.01;2.02;123; 123;0;0
0.154;0.354;2.08;1.98;124; 124;0;0
0.122;0.392;2.09;2.09;125; 125;0;0
0.126;0.421;1.98;1.98;126; 126;0;0
0.126;0.435;2.02;2.05;127; 127;0;0
0.13;0.424;2.08;2.03;128; 128;0;0
0.158;0.344;2.08;1.97;129; 129;0;0
0.141;0.369;2.03;1.99;130; 130;0;0
0.145;0.364;2.02;1.95;131; 131;0;0
0.127;0.386;2.09;2.06;132; 132;0;0
0.171;0.406;2.04;1.98;133; 133;0;0
0.152;0.439;1.96;2.03;134; 134;0;0
0.211;0.345;1.96;2.06;135; 135;1;0
0.309;0.291;2.05;2.05;136; 136;1;1
0.242;0.292;1.98;1.96;137; 137;1;1
0.38;0.249;1.94;2.06;138; 138;1;1
0.362;0.283;1.97;1.94;139; 139;1;1
0.328;0.301;2;2.03;140; 140;1;1
0.359;0.28;2.02;1.96;141; 141;1;1
0.352;0.251;1.96;2.09;142; 142;1;1
0.322;0.303;2.03;1.98;143; 143;1;1
0.333;0.274;2;1.99;144; 144;1;1
0.365;0.328;1.98;1.96;145; 145;1;1
0.367;0.244;1.96;2.05;146; 146;1;1
0.305;0.323;1.9;1.95;147; 147;1;1
0.298;0.288;1.98;2.03;148; 148;1;1
0.307;0.293;1.99;1.99;149; 149;1;1
0.318;0.321;1.98;2;150; 150;1;1
0.28;0.33;1.97;1.94;151; 151;1;1
0.298;0.273;1.98;2.03;152; 152;1;1
0.336;0.304;1.94;1.97;153; 153;1;1
0.339;0.292;1.93;2.02;154; 154;1;1
0.344;0.251;2;2.05;155; 155;1;1
0.31;0.35;2.03;1.97;156; 156;1;1
0.317;0.302;1.95;2.03;157; 157;1;1
0.369;0.306;1.96;1.93;158; 158;1;1
0.32;0.272;1.98;1.98;159; 159;1;1
0.29;0.296;2.05;2.06;160; 160;1;1
0.361;0.265;1.97;1.95;161; 161;1;1
0.235;0.364;2.01;2.05;162; 162;1;1
0.32;0.284;1.95;2;163; 163;1;1
0.337;0.33;1.89;2.06;164; 164;1;1
0.289;0.351;1.94;2.05;165; 165;1;1
0.339;0.336;2;1.97;166; 166;1;1
0.187;0.383;2.01;2.04;167; 167;1;1
0.414;0.214;1.93;2;168; 168;1;1
0.373;0.26;2;1.98;169; 169;1;1
0.265;0.298;2.01;1.95;170; 170;1;1
0.316;0.248;1.89;1.95;171; 171;1;1
0.245;0.308;1.93;1.91;172; 172;1;1
0.328;0.356;1.83;2;173; 173;1;1
0.368;0.278;1.9;1.94;174; 174;1;1
0.287;0.314;1.85;2.01;175; 175;1;1
0.369;0.214;1.93;1.98;176; 176;1;1
0.406;0.253;1.95;1.86;177; 177;1;1
0.316;0.287;1.93;1.99;178; 178;1;1
0.362;0.238;1.95;1.95;179; 179;1;1
0.308;0.253;1.92;2;180; 180;1;1
0.286;0.336;1.9;1.95;181; 181;1;1
0.42;0.255;1.88;1.89;182; 182;1;1
0.299;0.249;1.88;1.99;183; 183;1;1
0.383;0.195;1.84;2.04;184; 184;1;1
0.354;0.269;2.03;1.96;185; 185;1;1
0.418;0.201;1.97;1.93;186; 186;1;1
0.425;0.184;1.94;1.92;187; 187;1;1
0.445;0.203;1.87;1.97;188; 188;1;1
0.408;0.193;1.91;2.01;189; 189;1;1
0.282;0.322;1.85;1.92;190; 190;1;1
0.41;0.261;1.78;1.96;191; 191;1;1
0.425;0.183;1.83;1.95;192; 192;1;1
0.358;0.289;1.84;1.86;193; 193;1;1
0.393;0.243;1.81;1.92;194; 194;1;1
0.375;0.302;1.89;1.92;195; 195;1;1
0.273;0.35;1.88;1.89;196; 196;1;1
0.237;0.401;1.81;2;197; 197;1;1
0.331;0.332;1.83;1.96;198; 198;1;1
0.335;0.351;1.9;1.93;199; 199;1;1
0.395;0.28;1.87;1.99;200; 200;1;1
0.357;0.308;1.9;1.97;201; 201;1;1
0.296;0.299;1.93;2;202; 202;1;1
0.307;0.199;1.9;1.99;203; 203;1;1
0.39;0.283;1.72;1.96;204; 204;1;1
0.298;0.333;1.89;1.87;205; 205;1;1
0.381;0.233;1.85;1.93;206; 206;1;1
0.354;0.296;1.85;1.97;207; 207;1;1
0.436;0.267;1.96;2;208; 208;1;1
0.357;0.253;1.88;1.95;209; 209;1;1
0.427;0.239;1.76;2;210; 210;1;1
0.432;0.155;1.8;2;211; 211;1;1
0.45;0.247;1.73;1.99;212; 212;1;1
0.53;0.201;1.67;1.84;213; 213;1;1
0.431;0.266;1.72;1.93;214; 214;1;1
0.42;0.29;1.76;1.91;215; 215;1;1
0.411;0.231;1.76;1.94;216; 216;1;1
0.423;0.255;1.8;1.98;217; 217;1;1
0.433;0.242;1.72;1.94;218; 218;1;1
0.393;0.271;1.87;1.95;219; 219;1;1
0.389;0.266;1.8;1.86;220; 220;1;1
0.387;0.244;1.85;1.91;221; 221;1;1
0.439;0.204;1.71;1.9;222; 222;1;1
0.421;0.213;1.74;1.87;223; 223;1;1
0.363;0.295;1.86;1.88;224; 224;1;1
0.401;0.254;1.88;1.86;225; 225;1;1
0.394;0.242;1.78;1.95;226; 226;1;1
0.459;0.228;1.74;1.93;227; 227;1;1
0.441;0.181;1.83;1.88;228; 228;1;1
0.388;0.264;1.82;1.84;229; 229;1;1
0.373;0.277;1.82;1.85;230; 230;1;1
0.385;0.284;1.8;1.8;231; 231;1;1
0.314;0.248;1.87;1.88;232; 232;1;1
0.347;0.28;1.92;1.86;233; 233;1;1
0.408;0.249;1.91;1.82;234; 234;1;1
0.341;0.279;1.75;1.85;235; 235;1;1
0.361;0.282;1.9;1.82;236; 236;1;1
0.414;0.267;1.82;1.86;237; 237;1;1
0.38;0.252;1.77;1.81;238; 238;1;1
0.274;0.19;1.85;1.79;239; 239;1;1
0.352;0.284;1.83;1.77;240; 240;1;1
0.439;0.207;1.83;1.76;241; 241;1;1
0.355;0.327;1.89;1.78;242; 242;1;1
0.435;0.259;1.87;1.73;243; 243;1;1
0.408;0.286;1.9;1.68;244; 244;1;1
0.383;0.275;1.81;1.69;245; 245;1;1
0.357;0.244;1.83;1.79;246; 246;1;1
0.374;0.341;1.85;1.68;247; 247;1;1
0.366;0.331;1.78;1.76;248; 248;1;1
0.346;0.25;1.79;1.73;249; 249;1;1
0.381;0.22;1.75;1.74;250; 250;1;1
0.329;0.293;1.88;1.74;251; 251;1;1
0.474;0.205;1.71;1.74;252; 252;1;1
0.397;0.254;1.8;1.78;253; 253;1;1
0.436;0.268;1.79;1.76;254; 254;1;1
0.417;0.211;1.66;1.82;255; 255;1;1
0.43;0.203;1.74;1.66;256; 256;1;1
0.388;0.271;1.63;1.81;257; 257;1;1
0.453;0.29;1.73;1.76;258; 258;1;1
0.316;0.323;1.75;1.82;259; 259;1;1
0.414;0.253;1.79;1.68;260; 260;1;1
0.396;0.23;1.72;1.83;261; 261;1;1
0.42;0.22;1.84;1.74;262; 262;1;1
0.432;0.235;1.84;1.71;263; 263;1;1
0.453;0.228;1.82;1.7;264; 264;1;1
0.43;0.216;1.82;1.68;265; 265;1;1
0.327;0.324;1.73;1.7;266; 266;1;1
0.388;0.268;1.75;1.67;267; 267;1;1
0.377;0.257;1.85;1.77;268; 268;1;1
0.466;0.194;1.65;1.75;269; 269;1;1
0.478;0.212;1.79;1.59;270; 270;1;1
0.365;0.218;1.81;1.72;271; 271;1;1
0.472;0.216;1.66;1.64;272; 272;1;1
0.399;0.276;1.76;1.74;273; 273;1;1
0.391;0.19;1.71;1.8;274; 274;1;1
0.473;0.249;1.76;1.81;275; 275;1;1
0.384;0.172;1.81;1.67;276; 276;1;1
