date;total_items_sold
2146-04-19;12730.0
2146-04-20;14718.0
2146-04-21;13361.0
2146-04-22;12898.0
2146-04-23;14152.0
2146-04-24;14868.0
2146-04-25;12480.0
2146-04-26;15390.0
2146-04-27;16717.0
2146-04-28;17821.0
2146-04-29;16254.0
2146-04-30;15446.0
2146-05-01;13478.0
2146-05-02;16168.0
2146-05-03;14157.0
2146-05-04;15434.0
2146-05-05;13350.0
2146-05-06;13648.0
2146-05-07;14361.0
2146-05-08;14548.0
2146-05-09;13377.0
2146-05-10;12244.0
2146-05-11;17610.0
2146-05-12;17285.0
2146-05-13;13750.0
2146-05-14;16519.0
2146-05-15;3126.0
2146-05-16;545.0
2146-05-17;14686.0
2146-05-18;13200.0
2146-05-19;0.0
2146-05-20;0.0
2146-05-21;15657.0
2146-05-22;16472.0
2146-05-23;15452.0
2146-05-24;16292.0
2146-05-25;18690.0
2146-05-26;19146.0
2146-05-27;14705.0
2146-05-28;16198.0
2146-05-29;11439.0
2146-05-30;16564.0
2146-05-31;17740.0
2146-06-01;16032.0
2146-06-02;15760.0
2146-06-03;13154.0
2146-06-04;16590.0
2146-06-05;13593.0
2146-06-06;16796.0
2146-06-07;13543.0
2146-06-08;16443.0
2146-06-09;19065.0
2146-06-10;16817.0
2146-06-11;4161.0
2146-06-12;12567.0
2146-06-13;17593.0
2146-06-14;12332.0
2146-06-15;19294.0
2146-06-16;15946.0
2146-06-17;15411.0
2146-06-18;13824.0
2146-06-19;9699.0
2146-06-20;15774.0
2146-06-21;18569.0
2146-06-22;13496.0
2146-06-23;11303.0
2146-06-24;13054.0
2146-06-25;16882.0
2146-06-26;15347.0
2146-06-27;402.0
2146-06-28;10284.0
2146-06-29;21088.0
2146-06-30;13317.0
2146-07-01;229.0
2146-07-02;0.0
2146-07-03;0.0
2146-07-04;0.0
2146-07-05;19256.0
2146-07-06;19904.0
2146-07-07;16263.0
2146-07-08;17028.0
2146-07-09;14818.0
2146-07-10;17119.0
2146-07-11;18994.0
2146-07-12;20103.0
2146-07-13;21825.0
2146-07-14;20374.0
2146-07-15;14917.0
2146-07-16;18409.0
2146-07-17;17667.0
2146-07-18;19474.0
2146-07-19;17199.0
2146-07-20;20909.0
2146-07-21;19037.0
2146-07-22;15323.0
2146-07-23;15950.0
2146-07-24;14154.0
2146-07-25;16574.0
2146-07-26;19785.0
2146-07-27;20490.0
2146-07-28;19414.0
2146-07-29;16026.0
2146-07-30;16668.0
2146-07-31;16904.0
2146-08-01;16798.0
2146-08-02;18434.0
2146-08-03;17745.0
2146-08-04;16358.0
2146-08-05;16652.0
2146-08-06;12331.0
2146-08-07;17059.0
2146-08-08;18390.0
2146-08-09;14573.0
2146-08-10;20899.0
2146-08-11;15790.0
2146-08-12;15589.0
2146-08-13;17669.0
2146-08-14;15661.0
2146-08-15;18987.0
2146-08-16;18849.0
2146-08-17;19774.0
2146-08-18;19096.0
2146-08-19;15813.0
2146-08-20;18166.0
2146-08-21;16749.0
2146-08-22;16707.0
2146-08-23;19000.0
2146-08-24;16109.0
2146-08-25;16488.0
2146-08-26;15282.0
2146-08-27;16596.0
2146-08-28;19064.0
2146-08-29;15336.0
2146-08-30;21873.0
2146-08-31;19567.0
2146-09-01;14855.0
2146-09-02;15655.0
2146-09-03;17849.0
2146-09-04;17206.0
2146-09-05;16748.0
2146-09-06;16772.0
2146-09-07;20450.0
2146-09-08;15141.0
2146-09-09;18016.0
2146-09-10;16238.0
2146-09-11;8250.0
2146-09-12;21185.0
2146-09-13;17650.0
2146-09-14;18365.0
2146-09-15;18597.0
2146-09-16;17094.0
2146-09-17;16003.0
2146-09-18;20001.0
2146-09-19;16334.0
2146-09-20;16178.0
2146-09-21;19489.0
2146-09-22;17855.0
2146-09-23;15557.0
2146-09-24;14649.0
2146-09-25;18487.0
2146-09-26;18059.0
2146-09-27;19499.0
2146-09-28;16582.0
2146-09-29;20980.0
2146-09-30;15215.0
2146-10-01;16038.0
2146-10-02;15578.0
2146-10-03;15535.0
2146-10-04;17981.0
2146-10-05;18442.0
2146-10-06;16904.0
2146-10-07;14375.0
2146-10-08;16924.0
2146-10-09;19175.0
2146-10-10;15806.0
2146-10-11;19494.0
2146-10-12;22967.0
2146-10-13;16473.0
2146-10-14;16551.0
2146-10-15;16138.0
2146-10-16;18221.0
2146-10-17;17777.0
2146-10-18;17681.0
2146-10-19;17628.0
2146-10-20;16612.0
2146-10-21;14517.0
2146-10-22;16496.0
2146-10-23;16655.0
2146-10-24;17081.0
2146-10-25;19523.0
2146-10-26;20503.0
2146-10-27;16146.0
2146-10-28;13233.0
2146-10-29;16289.0
2146-10-30;14322.0
2146-10-31;18864.0
2146-11-01;17436.0
2146-11-02;17709.0
2146-11-03;16928.0
2146-11-04;13574.0
2146-11-05;12406.0
2146-11-06;16181.0
2146-11-07;9314.0
2146-11-08;13198.0
2146-11-09;16317.0
2146-11-10;18943.0
2146-11-11;13398.0
2146-11-12;16857.0
2146-11-13;13837.0
2146-11-14;17296.0
2146-11-15;19563.0
2146-11-16;20308.0
2146-11-17;17024.0
2146-11-18;15838.0
2146-11-19;14999.0
2146-11-20;15611.0
2146-11-21;14412.0
2146-11-22;17593.0
2146-11-23;17188.0
2146-11-24;15839.0
2146-11-25;17134.0
2146-11-26;15182.0
2146-11-27;16737.0
2146-11-28;15074.0
2146-11-29;15293.0
2146-11-30;12276.0
2146-12-01;12770.0
2146-12-02;14977.0
2146-12-03;14961.0
2146-12-04;17671.0
2146-12-05;14913.0
2146-12-06;16668.0
2146-12-07;19090.0
2146-12-08;17310.0
2146-12-09;15492.0
2146-12-10;15868.0
2146-12-11;17322.0
2146-12-12;14106.0
2146-12-13;20082.0
2146-12-14;16930.0
2146-12-15;16050.0
2146-12-16;15297.0
2146-12-17;16196.0
2146-12-18;18084.0
2146-12-19;13851.0
2146-12-20;21565.0
2146-12-21;16375.0
2146-12-22;14567.0
2146-12-23;17119.0
2146-12-24;14598.0
2146-12-25;17604.0
2146-12-26;15514.0
2146-12-27;20397.0
2146-12-28;19274.0
2146-12-29;19856.0
2146-12-30;21404.0
2146-12-31;16425.0
2147-01-01;9198.0
2147-01-02;12373.0
2147-01-03;15953.0
2147-01-04;15156.0
2147-01-05;15259.0
2147-01-06;14199.0
2147-01-07;14040.0
2147-01-08;13947.0
2147-01-09;14872.0
2147-01-10;17103.0
2147-01-11;19932.0
2147-01-12;16573.0
2147-01-13;13310.0
2147-01-14;15182.0
2147-01-15;15542.0
2147-01-16;17143.0
2147-01-17;14835.0
2147-01-18;16423.0
2147-01-19;15891.0
2147-01-20;14625.0
2147-01-21;13548.0
2147-01-22;14283.0
2147-01-23;14963.0
2147-01-24;16058.0
2147-01-25;15820.0
2147-01-26;14228.0
2147-01-27;14559.0
2147-01-28;15713.0
2147-01-29;15416.0
2147-01-30;16223.0
2147-01-31;18959.0
2147-02-01;14883.0
2147-02-02;10748.0
2147-02-03;11550.0
2147-02-04;11728.0
2147-02-05;12408.0
2147-02-06;12268.0
2147-02-07;12407.0
2147-02-08;13034.0
2147-02-09;14262.0
2147-02-10;13391.0
2147-02-11;14790.0
2147-02-12;17301.0
2147-02-13;17632.0
2147-02-14;16001.0
2147-02-15;17521.0
2147-02-16;12246.0
2147-02-17;12064.0
2147-02-18;11337.0
2147-02-19;13525.0
2147-02-20;15644.0
2147-02-21;15037.0
2147-02-22;17574.0
2147-02-23;11303.0
2147-02-24;12872.0
2147-02-25;15235.0
2147-02-26;15691.0
2147-02-27;13775.0
2147-02-28;16045.0
2147-03-01;16582.0
2147-03-02;13770.0
2147-03-03;12391.0
2147-03-04;12362.0
2147-03-05;15060.0
2147-03-06;13489.0
2147-03-07;17659.0
2147-03-08;14648.0
2147-03-09;13866.0
2147-03-10;6938.0
2147-03-11;15007.0
2147-03-12;17044.0
2147-03-13;14475.0
2147-03-14;13372.0
2147-03-15;16813.0
2147-03-16;13210.0
2147-03-17;13448.0
2147-03-18;12679.0
2147-03-19;15135.0
2147-03-20;16470.0
2147-03-21;14496.0
2147-03-22;16377.0
2147-03-23;13497.0
2147-03-24;12558.0
2147-03-25;14287.0
2147-03-26;13289.0
2147-03-27;16199.0
2147-03-28;14824.0
2147-03-29;16303.0
2147-03-30;14766.0
2147-03-31;12628.0
2147-04-01;13478.0
2147-04-02;14460.0
2147-04-03;13142.0
2147-04-04;13594.0
2147-04-05;15637.0
2147-04-06;13927.0
2147-04-07;13250.0
2147-04-08;11215.0
2147-04-09;12873.0
2147-04-10;13492.0
2147-04-11;17022.0
2147-04-12;19875.0
2147-04-13;17212.0
2147-04-14;11335.0
2147-04-15;14095.0
2147-04-16;15198.0
2147-04-17;12801.0
2147-04-18;12681.0
2147-04-19;15454.0
2147-04-20;15284.0
2147-04-21;13871.0
2147-04-22;14615.0
2147-04-23;15614.0
2147-04-24;14223.0
2147-04-25;14337.0
2147-04-26;16844.0
2147-04-27;14579.0
2147-04-28;11829.0
2147-04-29;15447.0
2147-04-30;16447.0
2147-05-01;14453.0
2147-05-02;14313.0
2147-05-03;15356.0
2147-05-04;14259.0
2147-05-05;15406.0
2147-05-06;17114.0
2147-05-07;16648.0
2147-05-08;14921.0
2147-05-09;15526.0
2147-05-10;15441.0
2147-05-11;15690.0
2147-05-12;14699.0
2147-05-13;15429.0
2147-05-14;17470.0
2147-05-15;17893.0
2147-05-16;14812.0
2147-05-17;18557.0
2147-05-18;12193.0
2147-05-19;12972.0
2147-05-20;13982.0
2147-05-21;7146.0
2147-05-22;16192.0
2147-05-23;15180.0
2147-05-24;18065.0
2147-05-25;14914.0
2147-05-26;13297.0
2147-05-27;14271.0
2147-05-28;16081.0
2147-05-29;14236.0
2147-05-30;10789.0
2147-05-31;18130.0
2147-06-01;15638.0
2147-06-02;16136.0
2147-06-03;13738.0
2147-06-04;15927.0
2147-06-05;14810.0
2147-06-06;15994.0
2147-06-07;14518.0
2147-06-08;13757.0
2147-06-09;13870.0
2147-06-10;14475.0
2147-06-11;20383.0
2147-06-12;16489.0
2147-06-13;18482.0
2147-06-14;20628.0
2147-06-15;19056.0
2147-06-16;15582.0
2147-06-17;15562.0
2147-06-18;18489.0
2147-06-19;17260.0
2147-06-20;19038.0
2147-06-21;19812.0
2147-06-22;19423.0
2147-06-23;14109.0
2147-06-24;15230.0
2147-06-25;17669.0
2147-06-26;17269.0
2147-06-27;18558.0
2147-06-28;16480.0
2147-06-29;17568.0
2147-06-30;18221.0
2147-07-01;16913.0
2147-07-02;16625.0
2147-07-03;18591.0
2147-07-04;16773.0
2147-07-05;20316.0
2147-07-06;17930.0
2147-07-07;15019.0
2147-07-08;14751.0
2147-07-09;15317.0
2147-07-10;18525.0
2147-07-11;23592.0
2147-07-12;24077.0
2147-07-13;25246.0
2147-07-14;17726.0
2147-07-15;19489.0
2147-07-16;19404.0
2147-07-17;18770.0
2147-07-18;17343.0
2147-07-19;19424.0
2147-07-20;18988.0
2147-07-21;15636.0
2147-07-22;17638.0
2147-07-23;16968.0
2147-07-24;17104.0
2147-07-25;16893.0
2147-07-26;21062.0
2147-07-27;17107.0
2147-07-28;17363.0
2147-07-29;16759.0
2147-07-30;16888.0
2147-07-31;15166.0
2147-08-01;16684.0
2147-08-02;20814.0
2147-08-03;17562.0
2147-08-04;15478.0
2147-08-05;16436.0
2147-08-06;17018.0
2147-08-07;15890.0
2147-08-08;16823.0
2147-08-09;20027.0
2147-08-10;15669.0
2147-08-11;16520.0
2147-08-12;21385.0
2147-08-13;19856.0
2147-08-14;19284.0
2147-08-15;21103.0
2147-08-16;18879.0
2147-08-17;20161.0
2147-08-18;17990.0
2147-08-19;17727.0
2147-08-20;15671.0
2147-08-21;18033.0
2147-08-22;15790.0
2147-08-23;18222.0
2147-08-24;16030.0
2147-08-25;16938.0
2147-08-26;16616.0
2147-08-27;14019.0
2147-08-28;16682.0
2147-08-29;18337.0
2147-08-30;8922.0
2147-08-31;17843.0
2147-09-01;15398.0
2147-09-02;14876.0
2147-09-03;10700.0
2147-09-04;16917.0
2147-09-05;19749.0
2147-09-06;19877.0
2147-09-07;13574.0
2147-09-08;14539.0
2147-09-09;16673.0
2147-09-10;15571.0
2147-09-11;15747.0
2147-09-12;19743.0
2147-09-13;21003.0
2147-09-14;19844.0
2147-09-15;17847.0
2147-09-16;14635.0
2147-09-17;15350.0
2147-09-18;16325.0
2147-09-19;18195.0
2147-09-20;16232.0
2147-09-21;17629.0
2147-09-22;14324.0
2147-09-23;16140.0
2147-09-24;17564.0
2147-09-25;14045.0
2147-09-26;18419.0
2147-09-27;20068.0
2147-09-28;16938.0
2147-09-29;16087.0
2147-09-30;16688.0
2147-10-01;18250.0
2147-10-02;16168.0
2147-10-03;15646.0
2147-10-04;18075.0
2147-10-05;17605.0
2147-10-06;15726.0
2147-10-07;14786.0
2147-10-08;14205.0
2147-10-09;14265.0
2147-10-10;19143.0
2147-10-11;16745.0
2147-10-12;18559.0
2147-10-13;16855.0
2147-10-14;15507.0
2147-10-15;16126.0
2147-10-16;13635.0
2147-10-17;15668.0
2147-10-18;20037.0
2147-10-19;16085.0
2147-10-20;14649.0
2147-10-21;17191.0
2147-10-22;16021.0
2147-10-23;13844.0
2147-10-24;14551.0
2147-10-25;17886.0
2147-10-26;14580.0
2147-10-27;12117.0
2147-10-28;9267.0
2147-10-29;14696.0
2147-10-30;15233.0
2147-10-31;16035.0
2147-11-01;16487.0
2147-11-02;15689.0
2147-11-03;15325.0
2147-11-04;15737.0
2147-11-05;14746.0
2147-11-06;15200.0
2147-11-07;13845.0
2147-11-08;11772.0
2147-11-09;17727.0
2147-11-10;13688.0
2147-11-11;17020.0
2147-11-12;18949.0
2147-11-13;16943.0
2147-11-14;19248.0
2147-11-15;21534.0
2147-11-16;18355.0
2147-11-17;15977.0
2147-11-18;13657.0
2147-11-19;18077.0
2147-11-20;18275.0
2147-11-21;18036.0
2147-11-22;15321.0
2147-11-23;16969.0
2147-11-24;16173.0
2147-11-25;13723.0
2147-11-26;15963.0
2147-11-27;17261.0
2147-11-28;17176.0
2147-11-29;18017.0
2147-11-30;18637.0
2147-12-01;16036.0
2147-12-02;15528.0
2147-12-03;15834.0
2147-12-04;14732.0
2147-12-05;14216.0
2147-12-06;13667.0
2147-12-07;14114.0
2147-12-08;12530.0
2147-12-09;11887.0
2147-12-10;13048.0
2147-12-11;16694.0
2147-12-12;19022.0
2147-12-13;19013.0
2147-12-14;18434.0
2147-12-15;15768.0
2147-12-16;16864.0
2147-12-17;16792.0
2147-12-18;15488.0
2147-12-19;16409.0
2147-12-20;15762.0
2147-12-21;13853.0
2147-12-22;13663.0
2147-12-23;14729.0
2147-12-24;17782.0
2147-12-25;14970.0
2147-12-26;20848.0
2147-12-27;21437.0
2147-12-28;19263.0
2147-12-29;16994.0
2147-12-30;19508.0
2147-12-31;19828.0
